abbr,query,name,dblp,score,papers,kind
AAAI,AAAI,AAAI Conference on Artificial Intelligence,conf/aaai,1.00,12345,conference
ACL,ACL,Annual Meeting of the Association for Computational Linguistics,conf/acl,1.00,11759,conference
ASPLOS,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,conf/asplos,1.00,652,conference
CAV,CAV,International Conference on Computer Aided Verification,conf/cav,1.00,300,conference
CCS,CCS,Annual ACM Conference on Computer and Communications Security,conf/ccs,1.00,935,conference
CHI,CHI,ACM Conference on Human Factors in Computing Systems,conf/chi,1.00,4845,conference
CRYPTO,CRYPTO,Annual International Cryptology Conference,conf/crypto,1.00,148,conference
CVPR,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),conf/cvpr,1.00,7361,conference
EUROCRYPT,EUROCRYPT,International Conference on the Theory and Application of Cryptographic Techniques,conf/eurocrypt,1.00,186,conference
FOCS,FOCS,IEEE Annual Symposium on Foundations of Computer Science,conf/focs,1.00,399,conference
FSE/ESEC,FSE/ESEC,ACM SIGSOFT Conference on the Foundations of Software Engineering,conf/sigsoft,1.00,0,conference
HPCA,HPCA,International Symposium on High-Performance Computer Architecture,conf/hpca,1.00,423,conference
ICCV,ICCV,IEEE/CVF International Conference on Computer Vision (ICCV),conf/iccv,1.00,4627,conference
ICML,ICML,International Conference on Machine Learning (ICML),conf/icml,1.00,7322,conference
ICSE,ICSE,International Conference on Software Engineering,conf/icse,1.00,779,conference
ISCA,ISCA,International Symposium on Computer Architecture,conf/isca,1.00,478,conference
KDD,KDD,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,conf/kdd,1.00,2253,conference
MICRO,MICRO,Annual IEEE/ACM International Symposium on Microarchitecture,conf/micro,1.00,576,conference
MobiCom,MobiCom,Annual International Conference on Mobile Computing and Networking,conf/mobicom,1.00,589,conference
NeurIPS/NIPS,NeurIPS,Conference on Neural Information Processing Systems (NeurIPS),conf/nips,1.00,12450,conference
OOPSLA,"ACM SIGPLAN International Conference on Object-Oriented Programming Systems, Languages, and Applications","ACM SIGPLAN International Conference on Object-Oriented Programming Systems, Languages, and Applications",conf/oopsla,1.00,1102,conference
PLDI,PLDI,ACM-SIGPLAN Symposium on Programming Language Design and Implementation,conf/pldi,1.00,1,conference
POPL,Proc. ACM Program. Lang.,ACM-SIGACT Symposium on Principles of Programming Languages,conf/popl,1.00,1116,conference
RTSS,RTSS,IEEE Real-Time Systems Symposium,conf/rtss,1.00,134,conference
S&P,IEEE Symposium on Security and Privacy,IEEE Symposium on Security and Privacy,conf/sp,1.00,924,conference
SIGCOMM,SIGCOMM,ACM SIGCOMM Conference,conf/sigcomm,1.00,364,conference
SIGGRAPH,SIGGRAPH,International Conference on Computer Graphics and Interactive Techniques,conf/siggraph,1.00,587,conference
SIGIR,SIGIR,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,conf/sigir,1.00,2059,conference
SIGMOD,SIGMOD/PODS,ACM SIGMOD Conference,conf/sigmod,1.00,25,conference
SOSP,SOSP,Symposium on Operating Systems Principles,conf/sosp,1.00,151,conference
STOC,STOC,Symposium on the Theory of Computing,conf/stoc,1.00,559,conference
USENIX NSDI,Symposium on Networked Systems Design and Implementation,Symposium on Networked Systems Design and Implementation,conf/nsdi,1.00,414,conference
USENIX OSDI,USENIX Symposium on Operating Systems Design and Implementation,USENIX Symposium on Operating Systems Design and Implementation,conf/osdi,1.00,145,conference
VIS,VIS,IEEE Visualization Conference,conf/visualization,1.00,208,conference
VLDB / PVLDB,Proceedings of the VLDB Endowment,Very Large Data Bases Conference,conf/vldb,1.00,1312,conference
WWW,WWW,The Web Conference,conf/www,1.00,3568,conference
ASE,ASE,International Conference on Automated Software Engineering,conf/kbse,0.95,1144,conference
DAC,DAC,Design Automation Conference,conf/dac,0.95,1460,conference
EMNLP,EMNLP,Conference on Empirical Methods in Natural Language Processing,conf/emnlp,0.95,8137,conference
ICDE,ICDE,IEEE International Conference on Data Engineering,conf/icde,0.95,1586,conference
LICS,LICS,ACM/IEEE Symposium on Logic in Computer Science,conf/lics,0.95,282,conference
MobiSys,MobiSys,"ACM SIGMOBILE International Conference on Mobile Systems, Applications, and Services",conf/mobisys,0.95,387,conference
PODS,PODS,ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,conf/pods,0.95,26,conference
SC,SC,"International Conference for High Performance Computing, Networking, Storage and Analysis",conf/sc,0.95,182,conference
SIGMETRICS,SIGMETRICS,International Conference on Measurement and Modeling of Computer Systems,conf/sigmetrics,0.95,168,conference
SODA,SODA,ACM-SIAM Symposium on Discrete Algorithms,conf/soda,0.95,640,conference
UBICOMP,UBICOMP,ACM International Joint Conference on Pervasive and Ubiquitous Computing,conf/huc,0.95,0,conference
USENIX ATC,USENIX ATC,USENIX Annual Technical Conference,conf/usenix,0.95,238,conference
USENIX FAST,USENIX Conference on File and Storage Technologies,USENIX Conference on File and Storage Technologies,conf/fast,0.95,130,conference
USENIX Security,USENIX Security Symposium,USENIX Security Symposium,conf/uss,0.95,1121,conference
ECCV,ECCV,European Conference on Computer Vision (ECCV),conf/eccv,0.90,2468,conference
EuroSys,EuroSys,European Conference on Computer Systems,conf/eurosys,0.90,339,conference
FAccT,FAccT,"Conference on Fairness, Accountability and Transparency",conf/facct,0.90,1110,conference
ICFP,ICFP,ACM SIGPLAN International Conference on Functional Programming,conf/icfp,0.90,0,conference
NDSS,NDSS,Network and Distributed System Security Symposium,conf/ndss,0.90,647,conference
RTAS,RTAS,IEEE Real Time Technology and Applications Symposium,conf/rtas,0.90,132,conference
UIST,ACM Symposium on User Interface Software and Technology,ACM Symposium on User Interface Software and Technology,conf/uist,0.90,714,conference
ICLR,ICLR,International Conference on Learning Representations (ICLR),conf/iclr,0.80,6725,conference
INFOCOM,INFOCOM,IEEE Conference on Computer Communications,conf/infocom,0.80,1367,conference
SIGGRAPH ASIA,SIGGRAPH ASIA,ACM SIGGRAPH Conference and Exhibition on Computer Graphics and Interactive Techniques in Asia,conf/siggrapha,0.80,471,conference
CIKM,CIKM,International Conference on Information and Knowledge Management,conf/cikm,0.75,2195,conference
CONEXT,CONEXT,Conference on Emerging Network Experiment and Technology,conf/conext,0.75,62,conference
ICDM,ICDM,IEEE International Conference on Data Mining,conf/icdm,0.75,575,conference
PACT,PACT,International Conference on Parallel Architectures and Compilation Techniques,conf/IEEEpact,0.75,140,conference
PPoPP,PPoPP,ACM SIGPLAN Symposium on Principles &#38; Practice of Parallel Programming,conf/ppopp,0.75,177,conference
AIES,AIES,"AAAI/ACM Conference on AI, Ethics, and Society",conf/aies,0.70,1016,conference
ISSTA,ISSTA,International Symposium on Software Testing and Analysis,conf/issta,0.70,304,conference
VR,VR,IEEE Conference on Virtual Reality and 3D User Interfaces,conf/vr,0.70,395,conference
COLT,COLT,Annual Conference Computational Learning Theory,conf/colt,0.65,669,conference
ISMB,ISMB,Intelligent Systems in Molecular Biology,conf/ismb,0.65,0,conference
MICCAI,MICCAI,International Conference on Medical Image Computing and Computer-Assisted Intervention,conf/miccai,0.65,2634,conference
PODC,PODC,ACM Symposium on Principles of Distributed Computing,conf/podc,0.65,149,conference
SenSys,SenSys,ACM International Conference on Embedded Networked Sensor Systems,conf/sensys,0.65,298,conference
WSDM,WSDM,Web Search and Data Mining,conf/wsdm,0.65,637,conference
ECIR,ECIR,European Conference on Information Retrieval,conf/ecir,0.60,2630,conference
HPDC,HPDC,International Symposium on High-Performance Parallel Distributed Computing,conf/hpdc,0.60,230,conference
IJCAI,IJCAI,International Joint Conference on Artificial Intelligence,conf/ijcai,0.60,2995,conference
MM,MM,ACM International Conference on Multimedia,conf/mm,0.60,3852,conference
CSCW,CSCW,Conference on Computer Supported Cooperative Work,conf/cscw,0.55,0,conference
ICCAD,ICCAD,International Conference on Computer Aided Design,conf/iccad,0.55,691,conference
ICDCS,ICDCS,IEEE International Conference on Distributed Computing Systems,conf/icdcs,0.55,680,conference
IPSN,IPSN,International Symposium on Information Processing in Sensor Networks,conf/ipsn,0.55,87,conference
MobiHoc,MobiHoc,"International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing",conf/mobihoc,0.55,218,conference
PERCOM,PERCOM,Annual IEEE International Conference on Pervasive Computing and Communications,conf/percom,0.55,142,conference
SPAA,SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,conf/spaa,0.55,154,conference
UAI,UAI,Conference on Uncertainty in Artificial Intelligence,conf/uai,0.55,633,conference
CODES+ISSS,CODES+ISSS,International Conference on Hardware/Software Codesign and System Synthesis,conf/codesisss,0.50,29,conference
ICS,ICS,ACM International Conference on Supercomputing,conf/ics,0.50,316,conference
SOCG,SOCG,International Symposium on Computational Geometry,conf/compgeom,0.50,309,conference
ECRTS,ECRTS,Euromicro Conference on Real-Time Systems,conf/ecrts,0.45,80,conference
TACAS,TACAS,International Conference on Tools and Algorithms for Construction and Analysis of Systems,conf/tacas,0.40,275,conference
ISMAR,ISMAR,International Symposium on Mixed and Augmented Reality,conf/ismar,0.35,451,conference
KR,KR,International Conference on Principles of Knowledge Representation and Reasoning,conf/kr,0.35,247,conference
RECOMB,RECOMB,Annual International Conference on Research in Computational Molecular Biology,conf/recomb,0.35,56,conference
ACSAC,ACSAC,Annual Computer Security Applications Conference,conf/acsac,0.30,241,conference
CASES,CASES,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",conf/cases,0.30,64,conference
CC,CC,International Conference on Compiler Construction,conf/cc,0.30,95,conference
CGO,CGO,IEEE/ACM International Symposium on Code Generation and Optimization,conf/cgo,0.30,171,conference
COLING,COLING,International Conference on Computational Linguistics,conf/coling,0.30,855,conference
DATE,DATE,"Design, Automation, and Test in Europe",conf/date,0.30,1609,conference
DISC,DISC,International Symposium on Distributed Computing,conf/wdag,0.30,99,conference
DSN,DSN,Dependable Systems and Networks,conf/dsn,0.30,240,conference
EACL,EACL,Conference of the European Chapter of the Association for Computational Linguistics,conf/eacl,0.30,1510,conference
ECOOP,ECOOP,European Conference on Object-Oriented Programming,conf/ecoop,0.30,129,conference
EDBT,EDBT,International Conference on Extending Database Technology,conf/edbt,0.30,350,conference
EMSOFT,EMSOFT,International Conference on Embedded Software,conf/emsoft,0.30,11,conference
ESA,ESA,European Symposium on Algorithms,conf/esa,0.30,476,conference
ESOP,ESOP,European Symposium on Programming,conf/esop,0.30,118,conference
ESORICS,ESORICS,European Symposium on Research in Computer Security,conf/esorics,0.30,286,conference
Eurographics,Eurographics,Annual Conference of the European Association for Computer Graphics,conf/eurographics,0.30,104,conference
ICALP,ICALP,"International Colloquium on Automata, Languages and Programming",conf/icalp,0.30,619,conference
ICNP,ICNP,IEEE International Conference on Network Protocols,conf/icnp,0.30,268,conference
ICPP,ICPP,International Conference on Parallel Processing,conf/icpp,0.30,276,conference
ICSME,ICSME,IEEE International Conference on Software Maintenance and Evolution,conf/icsm,0.30,273,conference
IMC,IMC,ACM/SIGCOMM Internet Measurement Conference,conf/imc,0.30,247,conference
IPDPS,IPDPS,IEEE International Parallel and Distributed Processing Symposium,conf/ipps,0.30,459,conference
ISWC,ISWC,International Semantic Web Conference,conf/semweb,0.30,0,conference
IUI,IUI,International Conference on Intelligent User Interfaces,conf/iui,0.30,334,conference
LCTES,LCTES,"ACM SIGPLAN/SIGBED International Conference on Languages, Compilers, and Tools for Embedded Systems",conf/lctrts,0.30,73,conference
MASCOTS,MASCOTS,"IEEE/ACM International Symposium on Modeling, Analysis, and Simulation On Computer and Telecommunication Systems",conf/mascots,0.30,109,conference
MIDDLEWARE,MIDDLEWARE,International Middleware Conference,conf/middleware,0.30,101,conference
MODELS,MODELS,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,conf/models,0.30,262,conference
Pacific Graphics,Pacific Graphics,Pacific Conference on Computer Graphics and Applications,conf/pg,0.30,0,conference
RAID,RAID,International Symposium on Recent Advances in Intrusion Detection,conf/raid,0.30,158,conference
RE,RE,IEEE International Requirements Engineering Conference,conf/re,0.30,332,conference
SDM,SDM,SIAM International Conference on Data Mining,conf/sdm,0.30,260,conference
ACCV,ACCV,Asian Conference on Computer Vision,conf/accv,0.25,279,conference
AISTATS,AISTATS,International Conference on Artificial Intelligence and Statistics,conf/aistats,0.25,1335,conference
ANCS,ANCS,Symposium on Architectures for Networking and Communications Systems,conf/ancs,0.25,0,conference
ASIACCS,ASIACCS,ACM Asia Conference on Computer and Communications Security,conf/asiaccs,0.25,435,conference
CCGRID,CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing",conf/ccgrid,0.25,275,conference
CLOUD,CLOUD,IEEE International Conference on Cloud Computing,conf/IEEEcloud,0.25,214,conference
CLUSTER,CLUSTER,IEEE International Conference on Cluster Computing,conf/cluster,0.25,123,conference
CONCUR,CONCUR,International Conference on Concurrency Theory,conf/concur,0.25,117,conference
CSF,CSF,IEEE Computer Security Foundations Symposium,conf/csfw,0.25,117,conference
EURO-PAR,EURO-PAR,European Conference on Parallel Processing,conf/europar,0.25,221,conference
FASE,FASE,International Conference on Fundamental Approaches to Software Engineering,conf/fase,0.25,85,conference
FC,FC,Financial Cryptography and Data Security,conf/fc,0.25,108,conference
GECCO,GECCO,Annual Conference on Genetic and Evolutionary Computation,conf/gecco,0.25,684,conference
I3D,I3D,ACM Symposium on Interactive 3D Graphics and Games,conf/si3d,0.25,0,conference
ICCD,ICCD,International Conference on Computer Design,conf/iccd,0.25,867,conference
ICRA,ICRA,IEEE International Conference on Robotics and Automation,conf/icra,0.25,4280,conference
ICST,ICST,"International Conference on Software Testing, Verification, and Validation",conf/icst,0.25,668,conference
IISWC,IISWC,IEEE International Symposium on Workload Characterization,conf/iiswc,0.25,105,conference
ISAAC,ISAAC,International Symposium on Algorithms and Computation,conf/isaac,0.25,168,conference
ISLPED,ISLPED,International Symposium on Low Power Electronics and Design,conf/islped,0.25,189,conference
ISPASS,ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,conf/ispass,0.25,208,conference
ISSRE,ISSRE,IEEE International Symposium on Software Reliability Engineering,conf/issre,0.25,183,conference
MASS,MASS,IEEE International Conference on Mobile Adhoc and Sensor Systems,conf/mass,0.25,313,conference
MSST,MSST,IEEE Conference on Mass Storage Systems and Technologies,conf/mss,0.25,0,conference
NOMS,NOMS,IEEE/IFIP Network Operations and Management Symposium,conf/noms,0.25,594,conference
RecSys,RecSys,ACM Conference on Recommender Systems,conf/recsys,0.25,647,conference
SAS,SAS,International Static Analysis Symposium,conf/sas,0.25,394,conference
SECON,SECON,"Annual IEEE International Conference on Sensing, Communication, and Networking",conf/secon,0.25,203,conference
SGP,SGP,Eurographics Symposium on Geometry Processing,conf/sgp,0.25,0,conference
SOCC,SOCC,ACM Symposium on Cloud Computing,conf/cloud,0.25,412,conference
SOUPS,SOUPS,Symposium On Usable Privacy and Security,conf/soups,0.25,57,conference
SRDS,SRDS,IEEE International Symposium on Reliable Distributed Systems,conf/srds,0.25,113,conference
STACS,STACS,Symposium on Theoretical Aspects of Computer Science,conf/stacs,0.25,224,conference
VRST,VRST,ACM Symposium on Virtual Reality Software and Technology,conf/vrst,0.25,353,conference
AAMAS,AAMAS,International Conference on Autonomous Agents and Multiagent Systems,conf/ifaamas,0.20,1341,conference
ACL Findings,ACL Findings,Findings of ACL,series/findacl,0.20,0,conference
ASIACRYPT,ASIACRYPT,International Conference on the Theory and Application of Cryptology and Information Security,conf/asiacrypt,0.20,123,conference
BIGDATA,BIGDATA,IEEE International Conference on Big Data,conf/bigdataconf,0.20,3006,conference
BMVC,BMVC,British Machine Vision Conference,conf/bmvc,0.20,526,conference
CCC,CCC,Computational Complexity Conference,conf/coco,0.20,4642,conference
CIDR,CIDR,Conference on Innovative Data Systems Research,conf/cidr,0.20,133,conference
CoNLL,CoNLL,Conference on Computational Natural Language Learning,conf/conll,0.20,127,conference
EuroS&P,European Symposium on Security and Privacy,European Symposium on Security and Privacy,conf/eurosp,0.20,254,conference
EuroVis,EuroVis,Eurographics Conference on Visualization,conf/vissym,0.20,106,conference
FM,FM,International Symposium on Formal Methods,conf/fm,0.20,168,conference
FPGA,FPGA,Symposium on Field Programmable Gate Arrays,conf/fpga,0.20,185,conference
FSE,ESEC/SIGSOFT FSE,Fast Software Encryption Workshop,conf/fse,0.20,200,conference
ICASSP,ICASSP,"IEEE International Conference on Acoustics, Speech, and Signal Processing",conf/icassp,0.20,12636,conference
ICCPS,ICCPS,International Conference on Cyber-Physical Systems,conf/iccps,0.20,152,conference
ICWS,ICWS,IEEE International Conference on Web Services,conf/icws,0.20,30,conference
ICWSM,ICWSM,International Conference on Web and Social Media,conf/icwsm,0.20,386,conference
IJCNLP,IJCNLP,International Joint Conference on Natural Language Processing,conf/ijcnlp,0.20,148,conference
IPMI,IPMI,Information Processing in Medical Imaging,conf/ipmi,0.20,106,conference
